Nom	Descriptif et modalités	Années
MISSWEB1	[2016] Quels sont les deux services d'internet dont vous auriez le plus de mal à vous passer ? [choix 1]	2016
Ajout de la modalité échanges instantanés par rapport à 2011	1- Les e-mails	
	2- Les démarches administratives	
	3- Les jeux en réseau	
	4- Les films, les vidéos sur internet	
	5- Les réseaux sociaux	
	6- Les sites d'information, d'actualités	
	7- Les achats	
	8- Les échanges instananés (WhatsApp, Snapchat, Messenger, etc.)	
	9- Ne sait pas / Ne répond pas	
MISSWEB2	[2016] Quels sont les deux services d'internet dont vous auriez le plus de mal à vous passer ? [choix 2]	2016
Ajout de la modalité échanges instantanés par rapport à 2011	1- Les e-mails	
	2- Les démarches administratives	
	3- Les jeux en réseau	
	4- Les films, les vidéos sur internet	
	5- Les réseaux sociaux	
	6- Les sites d'information, d'actualités	
	7- Les achats	
	8- Les échanges instananés (WhatsApp, Snapchat, Messenger, etc.)	
	9- Ne sait pas / Ne répond pas	
MISWEB_1	[2011] Quels sont les deux services d'internet dont vous auriez le plus de mal à vous passer ? [choix 1]	2011
	1- Les e-mails	
	2- Les démarches administratives	
	3- Les jeux en réseau	
	4- Les films, les vidéos sur internet	
	5- Les réseaux sociaux	
	6- Les sites d'information, d'actualités	
	7- Les achats	
	8- Ne sait pas / Ne répond pas	
MISWEB_2	[2011] Quels sont les deux services d'internet dont vous auriez le plus de mal à vous passer ? [choix 2]	2011
	1- Les e-mails	
	2- Les démarches administratives	
	3- Les jeux en réseau	
	4- Les films, les vidéos sur internet	
	5- Les réseaux sociaux	
	6- Les sites d'information, d'actualités	
	7- Les achats	
	8- Ne sait pas / Ne répond pas	
MOBAPPLI	Utilisez-vous votre téléphone mobile pour télécharger des applications gratuites ou payantes ?	2010 2011 2012 2013 2014 2015 2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
MOBCLIP	Utilisez-vous votre mobile pour regarder des clips, des vidéos ?	2007
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
MOBEMAIL	Utilisez-vous votre mobile pour consulter vos e-mails ?	2007 2008 2009 2010 2011 2012 2013 2014 2015
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
MOBHANGS1	Utilisez-vous votre mobile pour échanger des messages texte par applications de messagerie instantanée ?	2014 2015 2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
MOBHANGS2	Utilisez-vous votre mobile pour téléphoner par applications de messagerie instantanée ?	2014 2015 2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
MOBIMOBI	Vous connectez-vous à internet à votre domicile avec un téléphone mobile ou une tablette sur le réseau mobile ?	2011 2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
MOBINTER	Utilisez-vous votre mobile pour naviguer sur internet ?	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
MOBIWIFI	Vous connectez-vous à internet à votre domicile avec un téléphone mobile ou une tablette sur le réseau Wi-Fi ?	2011 2012 2013 2014   2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
MOBJEUX	Utilisez-vous votre mobile pour telecharger jeux, logos ?	2007 2008 2009
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
MOBMAPS	Utilisez-vous votre téléphone mobile pour géolocaliser un restaurant, bar, musée, etc. ?	2014 2015 2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
MOBMUSIC	Utilisez-vous votre mobile pour écouter de la musique ?	2007
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
MOBSMS	Utilisez-vous votre mobile pour envoyer des SMS ?	2007 2008 2009 2010
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
MOBTELEV	Utilisez-vous votre mobile pour regarder la television ?	2007 2008 2009 2010 2011 2012 2013
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
MOBVIDEO	Utilisez-vous votre mobile pour regarder des vidéos ?	2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
NBANWEB	Depuis combien d'années disposez-vous d'une connexion internet ?	2010           2016
NBPERS5	Nombre de personnes vivant dans le logement (5 modalités)	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
	1- Une personne	
	2- Deux personnes	
	3- Trois personnes	
	4- Quatre personnes	
	5- Cinq personnes et plus	
NBTELE	Nombre de postes de télévision actifs du logement	2012 2013 2014
	1- Aucun	
	2- Un	
	3- Deux	
	4- Trois	
	5- Quatre	
	6- Cinq et plus	
	7- Ne sait pas / Ne répond pas	
NB_SMS	Nombre de SMS envoyés par semaine	2007 2008 2009 2010 2011 2012 2013 2014
NETFLIX	Avez-vous un abonnement qui vous permet de regarder des vidéo en illimité ?	2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
NONACHAT	Pourquoi hésiter à effectuer des achats sur internet (une réponse possible) ?	2009             2016
	1- On ne peut pas bien voir ou toucher les produits	
	2- La sécurité des paiements n'est pas assurée	
	3- On ne connaît pas l'entreprise qui se cache derrière	
	4- Il n'y a pas de vendeur pour nous renseigner	
	5- Les délais de livraison sont trop longs	
	6- Les produits sont plus chers	
	7- Rien de tout cela ne vous fait hésiter	
	8- Ne sait pas / Ne répond pas	
OBJCOM	Les entreprises qui fournissent domotique utilisent-elles les info à des fin commerciales?	2015
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
OBJSECU	Les entreprises qui fournissent domotique protègent-elles la vie privée?	2015
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
OBJWEB1	Utilisez-vous des appareils connectés pour la santé ?	2015
	1- Oui, j'y vois un très grand intérêt	
	2- Oui, j'y vois un certain intérêt	
	3- Non, je n'y vois pas trop d'intérêt	
	4- Non, je n'y vois aucun intérêt	
	5- Ne sait pas / Ne répond pas	
OBJWEB2	Utilisez-vous des appareils connectés pour le sommeil ?	2015
	1- Oui, j'y vois un très grand intérêt	
	2- Oui, j'y vois un certain intérêt	
	3- Non, je n'y vois pas trop d'intérêt	
	4- Non, je n'y vois aucun intérêt	
	5- Ne sait pas / Ne répond pas	
OBJWEB3	Utilisez-vous des appareils connectés pour le poids ?	2015
	1- Oui, j'y vois un très grand intérêt	
	2- Oui, j'y vois un certain intérêt	
	3- Non, je n'y vois pas trop d'intérêt	
	4- Non, je n'y vois aucun intérêt	
	5- Ne sait pas / Ne répond pas	
OPFIXE	Etes-vous abonné, pour la ligne fixe, aux services d’un seul opérateur ou de plusieurs opérateurs ?	2007 2008 2009 2010
	1- Un seul opérateur qui est France Télécom (Orange)	
	2- Un seul opérateur qui n'est pas France Télécom (Orange)	
	3- Plusieurs opérateurs	
	4- Ne sait pas / Ne répond pas	
ORDIALL	Vous connectez-vous à internet à domicile avec un ordinateur par une connexion fixe (branché ou en Wi-Fi)	2016
ex ORDIFIXE+ORDIWIFI	1- Oui	2016
	2- Non	
ORDICLE3	Vous connectez-vous à internet à domicile avec un ordinateur connecté par le réseau mobile via une clé 3G/4G ?	2011 2012 2013 2014
	1- Oui	
	2- Non	
ORDIFIXE	Vous connectez-vous à internet à domicile avec un ordinateur par une connexion fixe (branché)	2011 2012 2013 2014
	1- Oui	
	2- Non	
ORDIJOB	Avez-vous accès à un ordinateur sur votre lieu de travail ou d'études ?	2007 2008         2013
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
ORDIWIFI	Vous connectez-vous à internet à domicile avec un ordinateur sur réseau Wi-Fi	2011 2012 2013 2014
	1- Oui	
	2- Non	
ORDI_VAC	Emmenez-vous votre ordinateur portable ou votre tablette quand vous partez en vacances ?	2011
	1- Oui, toujours	
	2- Oui, occasionnellement	
	3- Non	
	4- Ne sait pas / Ne répond pas	
OUTILFOR	Internet est-il un bon outil pour suivre des formations ?	2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
OUTILJOB	Internet est-il un bon outil pour trouver des offres d'emploi ?	2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
PARENTAL	Avez-vous utilisé un logiciel de contrôle parental ? (12 derniers mois)	2007
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
PCS8EGO	PCS (8 modalités)	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
	1- Independant	
	2- Cadre supérieur	
	3- Profession intermédiaire	
	4- Employé	
	5- Ouvrier	
	6- Reste au foyer	
	7- Retraite	
	8- Éleve/étudiant	
POND	Coefficient de pondération	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
PORTABLE	Avez-vous, au domicile, un ordinateur portable ?	2007 2008 2009 2010 2011 2012 2013
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
PP_VPRIVEE	Les pouvoirs publics doivent-ils inciter davantage les sites Internet à mieux protéger la vie privée ?	2010
	1- Plutôt d'accord	
	2- Plutôt pas d'accord	
	3- Ne sait pas / Ne répond pas	
PROSP_TELMOB	Pensez-vous vous abonner à un service de télévision sur mobile dans les 12 prochains mois ?	2007
	1- Oui	
	2- Non	
	3- Je ne connais pas ce service	
	4- Ne sait pas / Ne répond pas	
PROTEGO	Faites-vous attention à protéger vos données personnelles numériques ?	2014
	1- Oui et je suis très vigilant	
	2-Oui j'y pense de temps en temps	
	3- Non	
	4- Ne sait pas / Ne répond pas	
PX_ELEC	Seriez-vous prêt à payer 5% plus cher pour un ordinateur qui consomme moins d'électricité ?	2009
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
PX_RECYCL	Seriez-vous prêt à payer 5% plus cher pour un ordinateur qui puisse être recyclé facilement ?	2009
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
QUALIMOB	Comment qualifieriez-vous votre connexion à internet depuis votre mobile ?	2016
	1- Très satisfaisante	
	2- Plutôt satisfaisante	
	3- Peu satisfaisante	
	4- Pas du tout satisfaisante	
	5- Ne sait pas / Ne répond pas	
RAPIDITE	Diriez-vous que votre connexion mobile à internet est plus rapide que votre connexion fixe (à domicile ?)	2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
RAPID_DATAMOB	Avez-vous parfois l’impression que la connexion à Internet sur votre téléphone mobile n’est pas assez rapide ?	2010
	1- Oui, très souvent	
	2- Oui, assez souvent	
	3- Non, assez peu souvent	
	4- Non, jamais	
	5- Ne sait pas / Ne répond pas	
RAPID_FIX	Avez-vous parfois l’impression que votre connexion à Internet n’est pas assez rapide ?	2008   2010
	1- Oui, très souvent	
	2- Oui, souvent	
	3- Non, pas très souvent	
	4- Non, jamais	
	5- Ne sait pas / Ne répond pas	
RAPID_TELETRAV	Votre connexion à internet à domicile suffit-elle pour travailler à distance ?	2008
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
RECH_ECO	Grâce à internet, économisez-vous en comparant des offres ?	2008
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
REDACWEB	Sur les forums de discussion, les réseaux sociaux, les chats, les blogs, êtes-vous plutôt…	2014
	1- Un lecteur de ce que les autres disent ou écrivent	
	2- Un contributeur	
	3- Autant l'un que l'auter	
	4- Ne sait pas / Ne répond pas	
REDUC	Cette situation vous permet-elle de bénéficier d’un tarif réduit ou d’une remise ?	2011
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
REDUC2	S’agit-il d’une offre permettant d’obtenir une remise sur vos abonnements en les regroupant ?	2012 2013 2014
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
RED_DEPMOB	Avez-vous réduit vos dépenses pour les services mobiles ces derniers mois ?	2009
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
REGLJEU	Avez-vous mis en place des règles concernant vos enfants qui limitent le temps qu’ils passent à jouer à des jeux vidéo ?	2012   2014
	1- Oui	
	2- Non	
REGLPHON	Avez-vous mis en place des règles concernant vos enfants qui limitent le temps qu’ils passent à téléphoner ou envoyer des SMS ?	2012   2014
	1- Oui	
	2- Non	
REGLTELE	Avez-vous mis en place des règles concernant vos enfants qui limitent le temps qu’ils passent à regarder la télévision ?	2012   2014
	1- Oui	
	2- Non	
REGLWEB	Avez-vous mis en place des règles concernant vos enfants qui limitent le temps qu’ils passent à utiliser internet ?	2012   2014
	1- Oui	
	2- Non	
REPLMOB	Avez-vous regardé la télévision en replay sur votre téléphone ? (12 derniers mois)	2014
	1- Oui	
	2- Non	
REPLORDI	Avez-vous regardé la télévision en replay sur votre ordinateur ? (12 derniers mois)	2014
	1- Oui	
	2- Non	
REPLTABL	Avez-vous regardé la télévision en replay sur votre tablette tactile ? (12 derniers mois)	2014
	1- Oui	
	2- Non	
REPLTELE	Avez-vous regardé la télévision en replay sur votre télévision ? (12 derniers mois)	2014
	1- Oui	
	2- Non	
RESEAU4G	Utilisez-vous le réseau 4G pour vous connecter à internet via votre mobile ?	2014   2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
REVTOT6	Revenu mensuel du foyer en classes (6 modalités)	2007 2008 2009           2015 2016
	1- moins de 900€	
	2- de 900€ à 1499€	
	3- de 1500€ à 2299€	
	4- de 2300€ à 3099€	
	5- 3100€ et plus	
	6- Ne sait pas / Ne répond pas	
REVTOT7	Revenu mensuel du foyer en classes (7 modalités)	2010 2011 2012 2013 2014
	1- moins de 900€	
	2- de 900€ à 1499€	
	3- de 1500€ à 2299€	
	4- de 2300€ à 3099€	
	5- de 3100€ à 3999€	
	6- 4100€ et plus	
	7- Ne sait pas / Ne répond pas	
SEXE	Sexe	2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
	1- Homme	
	2- Femme	
SITES_ERASE	Les sites Internet devraient-ils permettre à chacun d’effacer simplement les informations personnelles ?	2010
	1- Plutôt d'accord	
	2- Plutôt pas d'accord	
	3- Ne sait pas / Ne répond pas	
SMARTPHO	Disposez-vous d'un smartphone ?	2011 2012 2013 2014 2015 2016
	1- Oui	
	2- Non	
	3- Ne sait pas / Ne répond pas	
SUFFADMI	La qualité de votre connexion (fixe ou mobile) à domicile est-elle suffisante pour effectuer des démarches administratives ?	2016
	1- Oui	
	2- Non	
SUFFFILM	La qualité de votre connexion (fixe ou mobile) à domicile est-elle suffisante pour regarder ou télécharger des films/vidéos ?	2016
	1- Oui	
	2- Non	
SURANTEN	Pour la santé humaine, les antennes-relais semblent ?	2014
	1- Plutôt sûrs	
	2- Plutôt pas sûrs	
	3- Ne sait pas / Ne répond pas	
